id;cat;name;name_ar;desc;desc_ar;price;unit;unit_ar;moq;moq_ar;icon;img;tip;tip_ar;available
1;pate;Pâte à sucre blanche;عجينة السكر البيضاء;Conditionnement 5kg — texture souple, idéale recouvrement.;تعبئة 5 كغ — قوام طري، مثالية للتغطية.;180;/ 5kg;/ 5 كغ;Cmd. min 2 unités;الحد الأدنى: وحدتان;pate;pate_sucre.png;<strong>Astuce :</strong> pétrissez légèrement avec un peu de Maïzena avant l'étalage pour éviter qu'elle ne colle. Idéale pour recouvrir un number cake ou une pièce montée.;<strong>نصيحة:</strong> اعجنوها قليلًا مع نشا الذرة قبل الفرد لتجنب الالتصاق. مثالية لتغطية الكيكات والحلويات المركبة.;TRUE
2;pate;Pâte à sucre couleurs assorties;عجينة السكر بألوان متنوعة;Kit 8 couleurs, 1kg chacune — prêtes à l'emploi.;طقم 8 ألوان، 1 كغ لكل لون — جاهزة للاستعمال.;220;/ kit 8kg;/ طقم 8 كغ;Cmd. min 1 kit;الحد الأدنى: طقم واحد;pate;;Astuce : mélangez deux couleurs entre elles pour créer des teintes personnalisées sans surcoût. Se conserve plusieurs mois à l'abri de la lumière, bien emballée.;نصيحة: امزجوا بين لونين للحصول على درجات مخصصة دون تكلفة إضافية. تُحفظ لعدة أشهر بعيدًا عن الضوء، مغلفة جيدًا.;TRUE
3;pate;Pâte à sucre premium sans gluten;عجينة السكر الفاخرة الخالية من الغلوتين;Formule pro, conditionnement 5kg.;تركيبة احترافية، تعبئة 5 كغ.;250;/ 5kg;/ 5 كغ;Cmd. min 2 unités;الحد الأدنى: وحدتان;pate;;Astuce : idéale pour les commandes de clients allergiques ou intolérants au gluten. Travaillez-la à température ambiante pour une élasticité optimale.;نصيحة: مثالية لطلبات الزبائن الذين يعانون من حساسية أو عدم تحمل الغلوتين. اعملوا بها في درجة حرارة الغرفة للحصول على مرونة مثالية.;TRUE
4;feuilletine;Feuilletine nature;فوييتين طبيعية;Éclats croustillants, sac professionnel 1kg.;رقائق مقرمشة، كيس احترافي 1 كغ.;65;/ kg;/ كغ;Cmd. min 5kg;الحد الأدنى: 5 كغ;feuilletine;feuilletine_box.png;<strong>Idée recette :</strong> mélangez à du chocolat fondu et du praliné pour un croustillant express sous vos entremets, ou saupoudrez sur une bûche avant congélation pour un effet croquant garanti.;<strong>فكرة وصفة:</strong> امزجوها بالشوكولاطة الذائبة والبرالين للحصول على طبقة مقرمشة سريعة أسفل الحلويات، أو رشّوها على البوش قبل التجميد لضمان قرمشة مثالية.;TRUE
5;feuilletine;Feuilletine praliné;فوييتين بالبرالين;Pré-mélangée praliné, sac 1kg.;ممزوجة مسبقًا بالبرالين، كيس 1 كغ.;78;/ kg;/ كغ;Cmd. min 5kg;الحد الأدنى: 5 كغ;feuilletine;feuilletine_box.png;Idée recette : incorporez-la directement dans une mousse ou un crémeux pour apporter du croquant sans détremper la préparation.;فكرة وصفة: أدمجوها مباشرة في الموس أو الكريمة لإضافة قرمشة دون أن تصبح رطبة.;TRUE
6;feuilletine;Feuilletine chocolat;فوييتين بالشوكولاطة;Enrobage cacao, conditionnement 5kg.;مغلفة بالكاكاو، تعبئة 5 كغ.;340;/ 5kg;/ 5 كغ;Cmd. min 1 unité;الحد الأدنى: وحدة واحدة;feuilletine;feuilletine_box.png;Idée recette : parfaite en base croustillante pour vos entremets, ou en décor final saupoudrée sur une ganache encore souple.;فكرة وصفة: مثالية كقاعدة مقرمشة للحلويات المركبة، أو كزينة نهائية تُرش فوق الغاناش وهو لا يزال طريًا.;TRUE
7;topping;Topping Fraise;توبينغ الفراولة;Brillant miroir, bidon 1L.;لمعان مرآة، عبوة 1 لتر.;55;/ L;/ لتر;Cmd. min 6L;الحد الأدنى: 6 لتر;topping;topping_fraise.png;Astuce : secouez bien avant emploi pour homogénéiser la texture. Idéal en filet sur les crêpes, glaces ou milk-shakes.;نصيحة: رجّوا العبوة جيدًا قبل الاستعمال لتجانس القوام. مثالي كخيوط فوق الكريب، المثلجات أو المخفوقات.;TRUE
8;topping;Topping Caramel Beurre Salé;توبينغ الكراميل بالزبدة المملحة;Texture coulante, bidon 5L.;قوام سائل، عبوة 5 لتر.;230;/ 5L;/ 5 لتر;Cmd. min 1 unité;الحد الأدنى: وحدة واحدة;topping;topping_caramel.png;<strong>Astuce :</strong> tiédissez légèrement le bidon avant utilisation pour un écoulement plus fluide. Parfait en filet sur un cheesecake ou incorporé dans une ganache montée.;<strong>نصيحة:</strong> ادفئوا العبوة قليلًا قبل الاستعمال لسيلان أسهل. مثالي كخيوط فوق التشيز كيك أو ضمن الغاناش المخفوق.;TRUE
9;topping;Topping Chocolat;توبينغ الشوكولاطة;Brillance intense, bidon 1L.;لمعان قوي، عبوة 1 لتر.;60;/ L;/ لتر;Cmd. min 6L;الحد الأدنى: 6 لتر;topping;topping_chocolat.png;Astuce : passez le bidon quelques secondes au bain-marie pour un écoulement plus fluide et un rendu brillant sur vos desserts.;نصيحة: ضعوا العبوة بضع ثوانٍ في حمام مائي للحصول على سيلان أسهل ولمعان أجمل على حلوياتكم.;TRUE
10;chocolat;Chocolat de couverture noir 64%;شوكولاطة كوفرتير داكنة 64%;Pistoles professionnelles, sac 1kg.;قطع (بيستول) احترافية، كيس 1 كغ.;130;/ kg;/ كغ;Cmd. min 5kg;الحد الأدنى: 5 كغ;chocolat;;Astuce : tempérez-le correctement (courbe 45°C puis 27°C puis 31°C) pour un démoulage net et un aspect brillant sans traces blanches.;نصيحة: قوموا بتمرير الشوكولاطة بالمنحنى الحراري الصحيح (45° ثم 27° ثم 31°) للحصول على فك قالب نظيف ولمعان دون بقع بيضاء.;TRUE
11;chocolat;Chocolat de couverture lait;شوكولاطة كوفرتير بالحليب;Fondant et onctueux, sac 2.5kg.;طرية وناعمة، كيس 2.5 كغ.;310;/ 2.5kg;/ 2.5 كغ;Cmd. min 2 unités;الحد الأدنى: وحدتان;chocolat;;Astuce : idéal pour les ganaches montées grâce à sa texture fondante. Ne pas dépasser 45°C à la fonte pour préserver son onctuosité.;نصيحة: مثالية للغاناش المخفوق بفضل قوامها الذائب. احرصوا على عدم تجاوز 45° عند الإذابة للحفاظ على نعومتها.;TRUE
12;chocolat;Chocolat blanc pistoles;شوكولاطة بيضاء (بيستول);Idéal moulage et décor, sac 1kg.;مثالية للتشكيل والزينة، كيس 1 كغ.;140;/ kg;/ كغ;Cmd. min 5kg;الحد الأدنى: 5 كغ;chocolat;;Astuce : très sensible à la chaleur, faites-le fondre doucement au bain-marie. Parfait pour teinter avec des colorants liposolubles.;نصيحة: حساسة جدًا للحرارة، أذيبوها بلطف في حمام مائي. مثالية للتلوين بالألوان الذائبة في الدهون.;TRUE
13;decors;Colorants gel — assortiment;ألوان جيل — تشكيلة متنوعة;Set de 12 teintes professionnelles.;طقم من 12 درجة لونية احترافية.;190;/ set;/ طقم;Cmd. min 1 set;الحد الأدنى: طقم واحد;decors;;Astuce : une pointe de couteau suffit généralement — ajoutez progressivement pour éviter de détremper vos préparations.;نصيحة: تكفي كمية صغيرة جدًا عادة — أضيفوها تدريجيًا لتجنب ترطيب عجائنكم.;TRUE
14;decors;Perles sucrées assorties;لآلئ سكرية متنوعة;Sachet professionnel 500g.;كيس احترافي 500 غ.;45;/ 500g;/ 500 غ;Cmd. min 4 unités;الحد الأدنى: 4 وحدات;decors;;Astuce : à ajouter juste avant service pour garder leur croquant — elles peuvent ramollir au contact de l'humidité.;نصيحة: أضيفوها قبيل التقديم مباشرة للحفاظ على قرمشتها — قد تلين عند ملامسة الرطوبة.;TRUE
15;decors;Vermicelles chocolat;فيرميسيل الشوكولاطة;Décor croustillant, sac 1kg.;زينة مقرمشة، كيس 1 كغ.;70;/ kg;/ كغ;Cmd. min 5kg;الحد الأدنى: 5 كغ;decors;;Astuce : parfaits pour finaliser un décor de gâteau ou enrober des truffes maison. Se conservent plusieurs mois au sec.;نصيحة: مثالية لإنهاء زينة الكيك أو تغليف الترافل المنزلي. تُحفظ لعدة أشهر في مكان جاف.;TRUE
